collection_week_label,raw_comments,clean_before_templates,excluded_mod_sys,removed_templates,removed_meta_thread_comments,final_clean_comments
W01_2025-10-06_to_2025-10-12,300,293,7,0.0,0,202
W02_2025-10-13_to_2025-10-19,300,296,4,0.0,0,206
W03_2025-10-20_to_2025-10-26,300,290,10,0.0,0,183
W04_2025-10-27_to_2025-11-02,300,291,9,0.0,0,222
W05_2025-11-03_to_2025-11-09,300,289,11,0.0,0,208
W06_2025-11-10_to_2025-11-16,300,293,7,0.0,0,199
W07_2025-11-17_to_2025-11-23,300,290,10,0.0,0,235
W08_2025-11-24_to_2025-11-30,300,292,8,1.0,0,205
W09_2025-12-01_to_2025-12-07,300,290,10,0.0,0,193
W10_2025-12-08_to_2025-12-14,300,297,3,0.0,0,206
W11_2025-12-15_to_2025-12-21,300,295,5,0.0,0,210
W12_2025-12-22_to_2025-12-28,300,291,9,0.0,0,229
