collection_week_label,raw_comments,clean_before_templates,excluded_mod_sys,removed_templates,removed_meta_thread_comments,final_clean_comments
W01_2025-10-06_to_2025-10-12,500,251,249,1.0,0.0,127
W02_2025-10-13_to_2025-10-19,500,290,210,0.0,0.0,169
W03_2025-10-20_to_2025-10-26,600,289,311,0.0,1.0,94
W04_2025-10-27_to_2025-11-02,600,276,324,1.0,1.0,143
W05_2025-11-03_to_2025-11-09,400,256,144,0.0,1.0,127
W06_2025-11-10_to_2025-11-16,500,267,233,0.0,3.0,155
W07_2025-11-17_to_2025-11-23,500,269,231,0.0,3.0,68
W08_2025-11-24_to_2025-11-30,500,256,244,1.0,2.0,159
W09_2025-12-01_to_2025-12-07,500,277,223,0.0,2.0,113
W10_2025-12-08_to_2025-12-14,400,281,119,0.0,0.0,110
W11_2025-12-15_to_2025-12-21,500,268,232,0.0,24.0,161
W12_2025-12-22_to_2025-12-28,600,286,314,0.0,5.0,146
