collection_week_label,raw_comments,clean_before_templates,excluded_mod_sys,removed_templates,final_clean_comments
W01_2025-10-06_to_2025-10-12,500,250,250,2.0,203
W02_2025-10-13_to_2025-10-19,500,263,237,0.0,180
W03_2025-10-20_to_2025-10-26,600,288,312,0.0,206
W04_2025-10-27_to_2025-11-02,500,291,209,0.0,240
W05_2025-11-03_to_2025-11-09,600,302,298,0.0,252
W06_2025-11-10_to_2025-11-16,500,262,238,0.0,236
W07_2025-11-17_to_2025-11-23,500,264,236,0.0,222
W08_2025-11-24_to_2025-11-30,500,271,229,0.0,222
W09_2025-12-01_to_2025-12-07,700,261,439,0.0,225
W10_2025-12-08_to_2025-12-14,700,266,434,0.0,149
W11_2025-12-15_to_2025-12-21,500,308,192,0.0,246
W12_2025-12-22_to_2025-12-28,500,287,213,0.0,160
