comment_id,post_id,author,created_utc,reason,body_preview,collection_week_idx,collection_week_label,pulled_at_utc
nhzh082,1nz4438,todayilearned-ModTeam,1759709139,modteam_style_username,"The submission has been removed because it is either too general, cannot stand on its own, or is simply a random coincidence",1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzh47w,1nx4c4j,todayilearned-ModTeam,1759709180,modteam_style_username,"This includes (but is not limited to) submissions related to:

    Recent political issues and politicians
    Social and economic issues (including race/religion/gender)
    Environmental issues
    Police misconduct",1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzjf8z,1nz03a9,[deleted],1759710033,blank_or_deleted_author,[removed],1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzjr2j,1nywi6y,[deleted],1759710155,blank_or_deleted_author,[deleted],1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzk1oy,1nywi6y,[deleted],1759710265,blank_or_deleted_author,[removed],1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzk4ro,1nywi6y,[deleted],1759710297,blank_or_deleted_author,[removed],1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzkhgk,1nywi6y,[deleted],1759710432,blank_or_deleted_author,[removed],1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzkzni,1nz4jx9,[deleted],1759710620,blank_or_deleted_author,[removed],1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nhzl2r8,1nygvb5,[deleted],1759710652,blank_or_deleted_author,[deleted],1,W01_2025-10-06_to_2025-10-12,2026-04-07T03:46:08.335271+00:00
nj6v98k,1o546ls,[deleted],1760313691,blank_or_deleted_author,[removed],2,W02_2025-10-13_to_2025-10-19,2026-04-07T03:46:08.335271+00:00
nj6vixw,1o4y0au,[deleted],1760313795,blank_or_deleted_author,[removed],2,W02_2025-10-13_to_2025-10-19,2026-04-07T03:46:08.335271+00:00
nj6w922,1o546ls,[deleted],1760314074,blank_or_deleted_author,[removed],2,W02_2025-10-13_to_2025-10-19,2026-04-07T03:46:08.335271+00:00
nj6wmre,1o4u1pk,[deleted],1760314219,blank_or_deleted_author,[removed],2,W02_2025-10-13_to_2025-10-19,2026-04-07T03:46:08.335271+00:00
nj6xaiz,1o4y0au,[deleted],1760314466,blank_or_deleted_author,[removed],2,W02_2025-10-13_to_2025-10-19,2026-04-07T03:46:08.335271+00:00
nj6xun4,1o546ls,[deleted],1760314673,blank_or_deleted_author,[removed],2,W02_2025-10-13_to_2025-10-19,2026-04-07T03:46:08.335271+00:00
