collection_week_label,raw_comments,clean_before_templates,excluded_mod_sys,removed_templates,removed_meta_thread_comments,final_clean_comments
W01_2025-10-06_to_2025-10-12,300,291,9,0.0,0.0,64
W02_2025-10-13_to_2025-10-19,300,294,6,0.0,0.0,87
W03_2025-10-20_to_2025-10-26,300,294,6,0.0,0.0,80
W04_2025-10-27_to_2025-11-02,300,285,15,0.0,3.0,70
W05_2025-11-03_to_2025-11-09,300,288,12,0.0,0.0,89
W06_2025-11-10_to_2025-11-16,300,297,3,1.0,0.0,97
W07_2025-11-17_to_2025-11-23,300,287,13,0.0,0.0,88
W08_2025-11-24_to_2025-11-30,300,292,8,0.0,0.0,55
W09_2025-12-01_to_2025-12-07,300,287,13,0.0,0.0,112
W10_2025-12-08_to_2025-12-14,300,282,18,0.0,0.0,66
W11_2025-12-15_to_2025-12-21,300,288,12,0.0,0.0,92
W12_2025-12-22_to_2025-12-28,300,293,7,0.0,0.0,95
